"u:0","u:1","u:2","p","node_groups"
-0.028744,0.17807,0,-0.25677,0
-0.03056,0.19068,0,-0.2906,0
-0.032604,0.20392,0,-0.32854,0
-0.034928,0.2178,0,-0.3712,0
-0.037595,0.23237,0,-0.41932,0
-0.04068,0.24764,0,-0.47385,0
-0.044265,0.26363,0,-0.53595,0
-0.048437,0.28029,0,-0.60709,0
-0.053274,0.29749,0,-0.68911,0
-0.058808,0.31494,0,-0.78434,0
-0.064951,0.33208,0,-0.89556,0
-0.071331,0.34783,0,-1.0261,0
-0.07693,0.36022,0,-1.179,0
-0.07928,0.3658,0,-1.3568,0
-0.072754,0.35869,0,-1.5557,0
-0.044914,0.32977,0,-1.7651,0
0.029749,0.26803,0,-1.9275,0
0.19738,0.16843,0,-2.0005,0
0.51407,0.056597,0,-1.6889,0
1,0,0,-1.3995,0
0,0,0,0,0
-0.00029462,0.0030995,0,-0.048069,0
-0.0010976,0.0029408,0,-0.032835,0
-0.0022102,0.0041555,0,-0.034732,0
-0.0034869,0.0055076,0,-0.032155,0
-0.004833,0.007345,0,-0.030896,0
-0.0061926,0.00959,0,-0.029449,0
-0.0075364,0.012272,0,-0.028294,0
-0.0088516,0.015387,0,-0.027389,0
-0.010135,0.018933,0,-0.026837,0
-0.011389,0.022907,0,-0.026702,0
-0.012619,0.027305,0,-0.027056,0
-0.013831,0.032122,0,-0.027968,0
-0.015034,0.037358,0,-0.029506,0
-0.016232,0.043009,0,-0.031737,0
-0.017434,0.049078,0,-0.034731,0
-0.018645,0.055565,0,-0.038558,0
-0.019869,0.062472,0,-0.043294,0
-0.021113,0.069803,0,-0.049017,0
-0.02238,0.077562,0,-0.055809,0
-0.023675,0.085753,0,-0.06376,0
-0.025003,0.094382,0,-0.072966,0
-0.026366,0.10345,0,-0.083533,0
-0.027772,0.11297,0,-0.095573,0
-0.029226,0.12295,0,-0.10921,0
-0.030736,0.13338,0,-0.1246,0
-0.032312,0.14428,0,-0.14187,0
-0.033965,0.15565,0,-0.16122,0
-0.035712,0.16749,0,-0.18284,0
-0.037572,0.17981,0,-0.20697,0
-0.039567,0.19262,0,-0.23386,0
-0.041726,0.2059,0,-0.26382,0
-0.044084,0.21967,0,-0.29723,0
-0.04668,0.2339,0,-0.3345,0
-0.049558,0.24857,0,-0.37616,0
-0.052763,0.26363,0,-0.42281,0
-0.05634,0.279,0,-0.4752,0
-0.060316,0.29452,0,-0.5342,0
-0.064686,0.30996,0,-0.60084,0
-0.069368,0.32491,0,-0.67633,0
-0.07413,0.33872,0,-0.76195,0
-0.078445,0.35035,0,-0.859,0
-0.081227,0.35817,0,-0.96837,0
-0.08032,0.35963,0,-1.0899,0
-0.071578,0.35098,0,-1.2206,0
-0.047241,0.32706,0,-1.3524,0
0.0065303,0.28195,0,-1.4653,0
0.11236,0.2119,0,-1.529,0
0.30077,0.12249,0,-1.4773,0
0.5988,0.037791,0,-1.3095,0
1,0,0,-0.87596,0
0,0,0,0,0
-0.00077326,0.0034237,0,-0.052079,0
-0.0020198,0.0033655,0,-0.035172,0
-0.0035651,0.004857,0,-0.037088,0
-0.0052779,0.0065275,0,-0.034242,0
-0.0070676,0.0087391,0,-0.032944,0
-0.0088765,0.011396,0,-0.031524,0
-0.010672,0.014526,0,-0.030475,0
-0.012438,0.018123,0,-0.029726,0
-0.014169,0.022185,0,-0.029366,0
-0.015868,0.026711,0,-0.029446,0
-0.017539,0.031697,0,-0.030029,0
-0.019191,0.03714,0,-0.031177,0
-0.02083,0.04304,0,-0.032953,0
-0.022466,0.049396,0,-0.035421,0
-0.024105,0.056206,0,-0.038647,0
-0.025755,0.063473,0,-0.0427,0
-0.027421,0.071197,0,-0.047653,0
-0.029109,0.079381,0,-0.053582,0
-0.030824,0.088026,0,-0.060567,0
-0.03257,0.097135,0,-0.068695,0
-0.034352,0.10671,0,-0.07806,0
-0.036173,0.11675,0,-0.088761,0
-0.038038,0.12725,0,-0.10091,0
-0.039954,0.13822,0,-0.11463,0
-0.041926,0.14965,0,-0.13004,0
-0.043963,0.16153,0,-0.1473,0
-0.046076,0.17386,0,-0.16657,0
-0.048278,0.18663,0,-0.18802,0
-0.050584,0.1998,0,-0.21187,0
-0.053012,0.21337,0,-0.23834,0
-0.055584,0.2273,0,-0.26771,0
-0.058323,0.24154,0,-0.30027,0
-0.061251,0.25601,0,-0.33637,0
-0.064385,0.27063,0,-0.37642,0
-0.06773,0.28525,0,-0.42088,0
-0.071269,0.29967,0,-0.47025,0
-0.074934,0.3136,0,-0.5251,0
-0.078575,0.3266,0,-0.58604,0
-0.081892,0.33805,0,-0.65363,0
-0.084324,0.34704,0,-0.72829,0
-0.084863,0.35226,0,-0.81007,0
-0.081737,0.35186,0,-0.89824,0
-0.071898,0.34334,0,-0.9905,0
-0.050216,0.32352,0,-1.0819,0
-0.0083707,0.28887,0,-1.1628,0
0.066313,0.23679,0,-1.2178,0
0.19103,0.16824,0,-1.2219,0
0.38442,0.091834,0,-1.1532,0
0.65728,0.027081,0,-0.9742,0
1,0,0,-0.73851,0
0,0,0,0,0
-0.0013645,0.0037128,0,-0.055683,0
-0.0031465,0.0037406,0,-0.037294,0
-0.0051959,0.005474,0,-0.039226,0
-0.0073986,0.0074234,0,-0.036125,0
-0.0096729,0.0099638,0,-0.034766,0
-0.011965,0.012982,0,-0.033336,0
-0.014242,0.016503,0,-0.032347,0
-0.016488,0.020514,0,-0.031702,0
-0.018696,0.025016,0,-0.03148,0
-0.02087,0.030006,0,-0.03172,0
-0.023014,0.03548,0,-0.032478,0
-0.025136,0.041439,0,-0.033807,0
-0.027245,0.047879,0,-0.035766,0
-0.02935,0.0548,0,-0.038414,0
-0.031458,0.062202,0,-0.041814,0
-0.033578,0.070085,0,-0.046032,0
-0.035715,0.078449,0,-0.051137,0
-0.037875,0.087294,0,-0.057203,0
-0.040062,0.096618,0,-0.064307,0
-0.04228,0.10642,0,-0.072532,0
-0.044533,0.1167,0,-0.081969,0
-0.046822,0.12745,0,-0.092712,0
-0.04915,0.13866,0,-0.10486,0
-0.051522,0.15033,0,-0.11854,0
-0.05394,0.16243,0,-0.13386,0
-0.056408,0.17496,0,-0.15095,0
-0.058933,0.18787,0,-0.16997,0
-0.06152,0.20115,0,-0.19107,0
-0.064177,0.21475,0,-0.21442,0
-0.066911,0.2286,0,-0.24023,0
-0.069727,0.24265,0,-0.26871,0
-0.072627,0.2568,0,-0.30008,0
-0.075602,0.27091,0,-0.33463,0
-0.078627,0.28482,0,-0.37261,0
-0.081648,0.29831,0,-0.41434,0
-0.084561,0.31106,0,-0.46011,0
-0.087178,0.32267,0,-0.5102,0
-0.089179,0.33256,0,-0.5648,0
-0.090026,0.33997,0,-0.62398,0
-0.088837,0.34386,0,-0.68749,0
-0.084184,0.34287,0,-0.75453,0
-0.073796,0.33525,0,-0.82343,0
-0.054126,0.31889,0,-0.89105,0
-0.019793,0.29155,0,-0.95201,0
0.036984,0.25139,0,-0.99803,0
0.12662,0.19817,0,-1.0172,0
0.26127,0.13513,0,-0.99538,0
0.45167,0.070954,0,-0.91737,0
0.7014,0.02023,0,-0.7807,0
1,0,0,-0.57748,0
0,0,0,0,0
-0.0020523,0.0039578,0,-0.058747,0
-0.0044481,0.0040572,0,-0.039101,0
-0.0070633,0.0059937,0,-0.041042,0
-0.0098027,0.0081774,0,-0.037715,0
-0.012597,0.010994,0,-0.036287,0
-0.015399,0.014316,0,-0.034828,0
-0.018181,0.018161,0,-0.033867,0
-0.020927,0.022514,0,-0.033289,0
-0.023633,0.027375,0,-0.033164,0
-0.026301,0.032737,0,-0.03352,0
-0.028937,0.0386,0,-0.034406,0
-0.03155,0.044961,0,-0.035869,0
-0.034149,0.051819,0,-0.03796,0
-0.036743,0.059172,0,-0.040737,0
-0.039339,0.06702,0,-0.044257,0
-0.041947,0.075362,0,-0.048583,0
-0.044571,0.084196,0,-0.053781,0
-0.047216,0.093519,0,-0.05992,0
-0.049886,0.10333,0,-0.067075,0
-0.052582,0.11362,0,-0.075325,0
-0.055305,0.12438,0,-0.084754,0
-0.058056,0.1356,0,-0.095451,0
-0.060833,0.14726,0,-0.10751,0
-0.063635,0.15935,0,-0.12104,0
-0.06646,0.17184,0,-0.13615,0
-0.069306,0.18469,0,-0.15295,0
-0.07217,0.19787,0,-0.17158,0
-0.075046,0.21131,0,-0.19216,0
-0.07793,0.22495,0,-0.21484,0
-0.08081,0.2387,0,-0.23978,0
-0.083669,0.25245,0,-0.26713,0
-0.086477,0.26606,0,-0.29707,0
-0.089186,0.27935,0,-0.32976,0
-0.091716,0.29209,0,-0.36537,0
-0.093941,0.30398,0,-0.40405,0
-0.095658,0.31465,0,-0.44591,0
-0.096552,0.32358,0,-0.49096,0
